Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 1295.40, 4.71, 1.69, 135.90, 18660.74
4.00, 0.00, 1295.60, 4.72, 1.70, 135.90, 18661.09
15.00, 0.00, 1295.80, 4.75, 1.71, 135.90, 18660.74
27.00, 0.00, 1294.20, 4.74, 1.70, 135.90, 18658.07
39.00, 0.00, 195.60, 5.18, 1.68, 135.90, 18657.14
51.00, 0.00, 25.60, 6.06, 1.65, 135.45, 18524.62
63.00, 0.00, 500.50, 5.57, 1.58, 133.80, 16559.00
75.00, 0.00, 301.40, 5.76, 1.48, 130.65, 11299.77
87.00, 0.00, 205.70, 5.88, 1.35, 126.00, 5044.02
100.00, 0.00, 151.40, 5.94, 1.22, 114.15, 779.67
112.00, 0.00, 123.30, 5.97, 1.09, 101.40, 13.70
124.00, 0.00, 154.50, 5.93, 0.98, 89.10, 38.56
136.00, 0.00, 525.60, 5.53, 0.89, 80.70, 979.91
148.00, 0.00, 1121.70, 4.97, 0.86, 76.80, 6090.82
160.00, 0.00, 1455.00, 4.54, 0.86, 74.85, 15227.18
172.00, 0.00, 1454.90, 4.55, 0.86, 74.70, 20582.23
184.00, 0.00, 1455.00, 4.56, 0.87, 74.85, 22411.38
196.00, 0.00, 1452.90, 4.55, 0.87, 74.85, 22979.91
208.00, 0.00, 1451.80, 4.55, 0.86, 74.70, 22225.32
220.00, 0.00, 1451.20, 4.61, 0.86, 74.85, 21744.48
232.00, 0.00, 1450.10, 4.60, 0.86, 74.85, 22087.92
244.00, 0.00, 1448.50, 4.59, 0.86, 74.85, 22369.46
256.00, 0.00, 1447.50, 4.55, 0.86, 74.85, 22178.28
268.00, 0.00, 1446.30, 4.59, 0.86, 74.85, 22074.45
280.00, 0.00, 1445.00, 4.55, 0.86, 74.85, 22145.76
292.00, 0.00, 1444.20, 4.56, 0.86, 74.85, 22022.30
304.00, 0.00, 1443.60, 4.55, 0.87, 74.85, 21798.49
316.00, 0.00, 1442.20, 4.55, 0.87, 74.85, 21915.33
328.00, 0.00, 1443.50, 4.61, 0.86, 74.85, 22123.81
340.00, 0.00, 1443.20, 4.58, 0.87, 74.85, 22019.86
352.00, 0.00, 1441.70, 4.56, 0.86, 74.85, 21820.91
364.00, 0.00, 1442.10, 4.61, 0.87, 74.85, 21848.90
376.00, 0.00, 1441.80, 4.61, 0.86, 74.85, 21957.49
388.00, 0.00, 1440.50, 4.58, 0.86, 74.85, 21918.12
400.00, 0.00, 1440.10, 4.55, 0.86, 74.85, 21835.31
413.00, 0.00, 1439.80, 4.60, 0.87, 74.85, 21846.34
425.00, 0.00, 1438.70, 4.60, 0.86, 74.85, 21864.58
437.00, 0.00, 1438.30, 4.58, 0.86, 74.85, 21841.93
449.00, 0.00, 1438.20, 4.57, 0.86, 74.85, 21806.97
461.00, 0.00, 1437.30, 4.56, 0.86, 74.85, 21807.67
473.00, 0.00, 1437.30, 4.57, 0.85, 74.85, 21808.25
485.00, 0.00, 1437.30, 4.61, 0.86, 74.85, 21801.51
497.00, 0.00, 1436.10, 4.60, 0.86, 74.85, 21771.43
509.00, 0.00, 1435.30, 4.57, 0.86, 74.85, 21773.17
521.00, 0.00, 1436.10, 4.61, 0.86, 74.85, 21788.15
533.00, 0.00, 1434.50, 4.56, 0.86, 74.85, 21746.46
545.00, 0.00, 1434.00, 4.60, 0.86, 74.85, 21737.52
557.00, 0.00, 1434.30, 4.58, 0.85, 74.85, 21742.97
569.00, 0.00, 1432.90, 4.58, 0.86, 74.85, 21725.90
581.00, 0.00, 1432.10, 4.59, 0.86, 74.85, 21721.02
