Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 2.60, 4.55, 1.69, 57.00, -41.00
8.00, 180.00, 2.80, 4.55, 1.69, 57.00, -38.10
21.00, 180.00, 753.50, 3.84, 1.79, 57.00, -46.57
33.00, 180.00, 476.90, 4.09, 1.77, 57.00, -46.69
45.00, 180.00, 249.00, 4.23, 1.81, 58.50, -29.50
57.00, 180.00, 152.70, 4.28, 1.86, 62.10, -39.26
69.00, 180.00, 111.70, 4.56, 1.94, 66.60, -49.83
81.00, 180.00, 124.40, 4.36, 2.01, 71.70, -58.77
93.00, 180.00, 183.20, 4.36, 2.11, 77.70, -39.95
105.00, 180.00, 150.70, 4.33, 2.20, 83.40, -24.39
117.00, 180.00, 173.50, 4.34, 2.28, 89.40, -23.00
129.00, 180.00, 196.40, 4.35, 2.36, 94.80, -44.83
141.00, 180.00, 173.40, 4.31, 2.44, 100.50, -46.46
153.00, 180.00, 176.10, 4.71, 2.53, 106.20, -33.45
165.00, 180.00, 169.00, 4.36, 2.65, 112.20, -42.39
177.00, 180.00, 179.90, 4.36, 2.77, 118.20, -48.90
189.00, 180.00, 149.50, 4.36, 2.86, 124.20, -45.88
201.00, 180.00, 143.80, 4.38, 2.98, 129.90, -53.66
213.00, 180.00, 3.20, 4.56, 3.06, 135.90, -30.66
225.00, 180.00, 3.00, 4.56, 3.10, 140.40, -23.11
237.00, 180.00, 2.80, 4.57, 3.13, 142.80, -50.64
249.00, 180.00, 2.90, 4.56, 3.14, 144.00, -45.18
261.00, 180.00, 241.50, 3.95, 3.24, 144.60, -32.29
274.00, 180.00, 2.30, 3.89, 3.10, 144.60, -39.26
286.00, 180.00, 2.90, 4.56, 3.16, 144.90, -38.33
298.00, 180.00, 3.10, 4.57, 3.16, 145.50, -27.76
310.00, 180.00, 3.00, 4.56, 3.16, 145.50, -34.15
322.00, 180.00, 3.10, 4.56, 3.16, 145.50, -53.54
334.00, 180.00, 2.80, 4.56, 3.16, 145.50, -60.16
346.00, 180.00, 3.00, 4.55, 3.16, 145.50, -39.61
358.00, 180.00, 3.10, 4.56, 3.16, 145.50, -48.20
370.00, 180.00, 3.00, 4.56, 3.15, 145.50, -38.21
382.00, 180.00, 3.00, 4.56, 3.16, 145.50, -30.78
394.00, 180.00, 3.00, 4.55, 3.16, 145.50, -27.64
406.00, 180.00, 2.80, 4.56, 3.16, 145.50, -18.47
418.00, 180.00, 3.00, 4.56, 3.16, 145.50, -33.45
430.00, 180.00, 2.60, 4.56, 3.16, 145.50, -40.65
442.00, 180.00, 2.90, 4.55, 3.16, 145.50, -44.60
454.00, 180.00, 2.80, 4.56, 3.15, 145.50, -54.01
466.00, 180.00, 2.80, 4.56, 3.16, 145.50, -51.57
478.00, 180.00, 3.00, 4.57, 3.16, 145.50, -44.95
490.00, 180.00, 2.70, 4.55, 3.16, 145.50, -42.04
502.00, 180.00, 3.00, 4.56, 3.16, 145.50, -23.81
514.00, 180.00, 3.10, 4.55, 3.16, 145.50, -27.06
527.00, 180.00, 2.90, 4.56, 3.16, 145.50, -38.91
539.00, 180.00, 3.10, 4.56, 3.15, 145.50, -33.68
551.00, 180.00, 2.70, 4.56, 3.15, 145.50, -33.68
563.00, 180.00, 3.10, 4.56, 3.16, 145.50, -32.52
575.00, 180.00, 2.90, 4.56, 3.16, 145.50, -22.42
587.00, 180.00, 3.10, 4.55, 3.16, 145.50, -14.29
